repo_name,sha_ids
apache/commons-vfs,04bffa014d7473d62b972a4376748f4381c782fa;9e503382c0b4ad20d2962a080591646383342dab;929d2a902e6d7a370231d94821decec39b669b31
hazelcast/hazelcast-simulator,89e92faa0e1d0c5cae63838e1d161e7c640458eb;d6baf59b671ba0f9fa759078b10ed1f438d7f3b3;ab673484e37b3ef9d9a2f02ce5799d3e92937575
i2p/i2p.android.base,312534b635e5df2f5ac728aa5bdf24b4465eb318
bilibili/danmakuflamemaster,6e125ae5f1dec6f98f1d5f06690802c31f516577;a5d4187d08b9e62720c7028f11a85b2f93f7d5ae
checkstyle/checkstyle,3828fb1efece4f88445cfdf70b27e90abd0c3ef7;7a1b0b12a6caa0e8ccf6a7a0cc44046e7f93e339;7284e8aa425ef5ed01838e99fd228609ce3e1208;b2a80ceca30df26e628d6f343dbc49d7b6481409;795968d20ed78e558a95fdd35702366327a4bdc1;bd4ec9a98edaced73f14c5422f64c39fad3ce596
corfudb/corfudb,24255437caf7e413d93a97b858559d2cfc0fb669;55c8ef0b1abdcb45bcf4a2a9b1da7f0c226cb18a;cc929070ef878efde77e71934232066ccfdf769e
torakiki/pdfsam,d7934aad985c1c3ae889321fe353790b9a425250
adoptopenjdk/jitwatch,b938e3fbabd1177d8454e6bb235fcd8d3fe73c2e
novoda/spikes,32669138c16b3b868ad0fd0e752716f0c5f10f05;246ec115cf0235d713fd0f150f23f5daf17b86d8
devskiller/jfairy,bf2e7c47bfb082e491773ee2e60bd7d53e080783
multibit-legacy/multibit-hd,b5a6a13ce9c3e43f1a6fdcc65455ea685962012b
bmwcarit/joynr,ff304e09a3947c784cccc00dc46deba5d7b1346d
omnirom/android_frameworks_base,733978be4c89b81e59d4562e86576760037cac70;f5f290cce9df2e3532d0be5403b98621b53a8cc9;fcea0ec0195c93798572101ea9ce70081a4f174c;3f3913550c10792edb8aecf66cc83c3db5c8b311;7bdb096289d10983f6fe711ecd598e350c9a9587;7c12eee6439435d7f29d49cab76edaedbd809460;2ecbe69ddd4fc93e83c2810ab88abb03e4f9f718;7a32fba76a15d356d929b35db516fcf3f136defb;8068618ebed021c445db0919843cdb6b9b9e35b5;f83464ed0a1c9215f4100fa018061710ed722ef5;ed7e00729f78d11107f0e9a7f0559dfe4be6b560
jcabi/jcabi-github,acfcf5fa60f28077d0391fcd10d47f95f3610343
mapzen/open,1444d24171619c502a9e41d01f40ac33f375f69a
cflint/cflint,60becf8c2d14b9d850f1b79bbca31c8de06ed0a0
apache/uima-uimaj,d15fdac5175190df735ac53106f5606eb564ce0a
twosigma/beakerx,728d7a83b73c2dcbfd91a61c68370a0a780f709b;9bf5095405b57bcad27ec033f278c39cc83475da
tlaukkan/zigbee4java,dbdc89c59f6dfe984f6f630f2131797138d25f43;d71c400ab6a37911cbe7fd86d5187c1c8208f561;90a0ff8dddc077c42df1be93ee520648bbde3ea3
eclipse/kura,30220ac943473d136669df2e09db072c71671de3;07e2106f88d3cd85e6f8547bcd240bc71ad680f2;e0aa32f31a07e78ffbc47531881d664a75feaa3b
cache2k/cache2k,d51d2812a4d0b296aeb5ae66203185c9e70547f1
jenetics/jenetics,37dc29e0ae07aa53fbbebf88e5595379f83983f5
